string,uz_UZ,ru_RU,en_EN,uz_UZK
selection_unit_title,O‘lchov turini tanlang,Выберите единицу измерения,Select Measurement Type,Ўлчов турини танланг
selection_user_address_title,Manzilni tanlang,Выберите адрес,Select Address,Манзилни танланг
send_report_actions_title,Shikoyat yuborish,Отправить жалобу,Send Report,Шикоят юбориш
services_title,Xizmatlar,Услуги,Services,Хизматлар
set_intro_choose_later,Keyinroq tanlash,Выбрать позже,Choose Later,Кейинроқ танлаш
set_intro_region_description,"Sizga eng qulay bo‘lgan e’lonlarni topich uchun, iltimos hududingizni tanlang.","Чтобы вам было легче найти более подходящие объявления, пожалуйста укажите свой регион.","To find the most convenient ads for you, please select your region.","Сизга энг қулай бўлган эълонларни топич учун, илтимос ҳудудингизни танланг."
set_intro_region_select_button,Hududni tanlash,Выбрать регион,Select Region,Ҳудудни танлаш
set_intro_region_title,Hududingizni tanlang,Выберите свой регион,Select Your Region,Ҳудудингизни танланг
set_region_description,"Iltimos, hududingizni tanlang. Biz sizni hududingizga mos keladigan 
e’lonlarni ko'rsatamiz.","Пожалуйста, выберите свой регион. Мы покажем объявления по выбранному вами региону.","Please select your region. We will show you
ads relevant to your region.","Илтимос, ҳудудингизни танланг. Биз сизни ҳудудингизга мос келадиган 
эълонларни кўрсатамиз."
set_region_selected_name,Butun O‘zbekiston bo‘yicha,По всему Узбекистану,Throughout Uzbekistan,Бутун Ўзбекистон бўйича
set_region_title,Hududingizni tanlang,Выберите свой регион,Select Your Region,Ҳудудингизни танланг
settings_active_devices,Faol qurilmalar,Активные устройства,Active Devices,Фаол қурилмалар
settings_change_password,Parolni o‘zgartirish,Поменять пароль,Change Password,Паролни ўзгартириш
settings_receive_notification,Bildirishnomani qanday olish mumkin,Способ получения уведомления,How to receive notifications,Билдиришномани қандай олиш мумкин
settings_social_network,Mening ijtimoiy tarmoqlarim,Мои соц.сети,My Social Networks,Менинг ижтимоий тармоқларим
settings_title,Sozlamalar,Настройки,Settings,Созламалар
similar_product_title,O‘xshash mahsulotlar,Похожие продукты,Similar Products,Ўхшаш маҳсулотлар
sm_installment_error_title,Muddatli to‘lov ma'lumotlari yuklashda xatolik yuz berdi. Iltimos qayta urinib ko‘ring,"""Не удалось загрузить информацию об оплате в рассрочку. Пожалуйста, попробуйте еще раз""",Error loading installment payment information. Please try again,Муддатли тўлов маълумотлари юклашда хатолик юз берди. Илтимос қайта уриниб кўринг
telegram_bot_description,Bot orqali bildirishnomalarni olish uchun siz botga ulangan bo‘lishingiz kerak,"Вы должны быть подключены, чтобы получать уведомления от ботов.","To receive notifications via bot, you must be connected to the bot",Бот орқали билдиришномаларни олиш учун сиз ботга уланган бўлишингиз керак
theme_mode_dark_mode,Qorong‘i rejim,Темный режим,Dark Mode,Қоронғи режим
theme_mode_light_mode,Yorug‘ rejim,Светлый режим,Light Mode,Ёруғ режим
theme_mode_system,Telefondagi kabi,Как на телефоне,Same as Phone,Телефондаги каби
user_ad_action_view,E’lonni ko‘rish,Просмотреть объявление,View Ad,Эълонни кўриш
user_ad_detail_remainder,Qolgan,Остаток,Remaining,Қолган
user_ad_status_active,Ushbu e’lon chop etilgan,Это объявление опубликовано,This ad has been published,Ушбу эълон чоп этилган
user_ad_status_cancelled,Ushbu e’lon bekor qilingan,Это объявление отменено,This ad has been canceled,Ушбу эълон бекор қилинган
user_ad_status_inactive,Ushbu e’lon nofaol,Это объявление не активно,This ad is inactive,Ушбу эълон нофаол
user_ad_status_rejected,Ushbu e’lon rad etilgan,Это объявление отклонено,This ad has been rejected,Ушбу эълон рад этилган
user_ad_status_wait,Ushbu e’lon ko‘rib chiqilishi kutilmoqda,Это объявление на рассмотрении,This ad is awaiting review,Ушбу эълон кўриб чиқилиши кутилмоқда
user_address_actions_title,Manzilga bilan bog‘liq amallar,Действия с адресом,Actions related to address,Манзилга билан боғлиқ амаллар
user_address_add_title,Yangi manzil qo‘shish,Добавить новый адрес,Add New Address,Янги манзил қўшиш
user_address_address,Manzil:,Адрес:,Address:,Манзил:
user_address_edit_title,Manzilni tahrirlash,Редактировать адрес,Edit Address,Манзилни таҳрирлаш
user_address_get_location,Joylashuvni aniqlash,Определить местоположение,Determine Location,Жойлашувни аниқлаш
user_address_location,Joylashuvni tanlang,Выберите локацию,Select Location,Жойлашувни танланг
user_address_my_address,Mening manzillarim,Мои адреса,My Addresses,Менинг манзилларим
user_address_name,Manzil nomi,Название адреса,Address Name,Манзил номи
user_address_taken_location,Aniqlangan joylashuv,Полученный местоположения,Determined Location,Аниқланган жойлашув
user_ads_actions_title,E’longa bilan bog‘liq amallar,Действия с объявлением,Actions related to ad,Эълонга билан боғлиқ амаллар
user_ads_active,Chop etilgan,Опубликованый,Published,Чоп этилган
user_ads_all,Barchasi,Все,All,Барчаси
user_ads_cancelled,Bekor qilingan,Отменено,Canceled,Бекор қилинган
user_ads_inactive,Nofaol,Неактивный,Inactive,Нофаол
user_ads_rejected,Rad etilgan,Отклоненный,Rejected,Рад этилган
user_ads_status_changing_failed,E’lonni holatini o‘zgartirishda xatolik yuz berdi,Произошла ошибка при изменении статуса объявления,Error changing ad status,Эълонни ҳолатини ўзгартиришда хатолик юз берди
user_ads_status_successfully_changed,E’lonni holati muvaffaqiyatli o‘zgartirildi,Статус объявления успешно изменен,Ad status successfully changed,Эълонни ҳолати муваффақиятли ўзгартирилди
user_ads_title,E‘lonlar,Объявления,Ads,Эълонлар
user_ads_wait,Kutilmoqda,В ожидании,Pending,Кутилмоқда
user_card_deposit_card_name,Depozit karta,Депозитная карта,Deposit Card,Депозит карта
user_card_deposit_card_pan,online-bozor.uz,online-bozor.uz,online-bozor.uz,online-bozor.uz
user_order_accepted,Qabul qilingan,Принято,Accepted,Қабул қилинган
user_order_active,Faol,Активный,Active,Фаол
user_order_all,Barchasi,Все,All,Барчаси
user_order_cancelled,Bekor qilingan,Отменено,Canceled,Бекор қилинган
user_order_in_progress,Ko‘rib chiqilmoqda,На рассмотрении,Under Review,Кўриб чиқилмоқда
user_order_inactive,Nofaol,Неактивный,Inactive,Нофаол
user_order_rejected,Rad etilgan,Отклоненный,Rejected,Рад этилган
user_order_wait,Kutilmoqda,В ожидании,Pending,Кутилмоқда
login_error,"Login yoki parol noto‘g‘ri. Iltimos, tekshirib qaytadan urinib ko‘ring.","Логин или пароль введены неверно. Пожалуйста, проверьте и попробуйте снова.",Incorrect login or password. Please check and try again.,"Логин ёки парол нотўғри. Илтимос, текшириб қайтадан уриниб кўринг."
register_warning_message,"Hurmatli foydalanuvchi, ushbu funksionallikdan foydalanishingiz uchun siz to‘liq ro‘yxatdan o‘tishingiz kerak.","Уважаемый пользователь, чтобы воспользоваться данной функциональностью, вам необходимо пройти полную регистрацию.","Dear user, to use this functionality you need to complete full registration.","Ҳурматли фойдаланувчи, ушбу функционалликдан фойдаланишингиз учун сиз тўлиқ рўйхатдан ўтишингиз керак."
diqqat,Diqqat!,Внимание!,Attention!,Диққат!
full_register,To‘liq ro‘yxatdan o‘tish,Полная регистрация,Complete Full Registration,Тўлиқ рўйхатдан ўтиш
full_name,To‘liq ism va familiya,"Полное имя и фамилия.
",Full Name,Тўлиқ исм ва фамилия
select_region,Viloyat tanlang,Выберите область,Select Region,Вилоят танланг
select_district,Tuman tanlang,Выберите район,Select District,Туман танланг
governor_assistant,Hokim yordamchisi,Помощник хокима,Governor's Assistant,Ҳоким ёрдамчиси
women_committee_activist,Xotin qizlar faoli,Активистка женского совета,Women's Activist,Хотин қизлар фаоли
other,Boshqa,Другое,Other,Бошқа
who_recommended,Kim tavsiya qildi,Кто порекомендовал,Who Recommended,Ким тавсия қилди
select_mahalla,Mahalla tanlang,Выберите махаллю,Select Neighborhood,Маҳалла танланг
ad_creation_service_name,Xizmat nomi,Название услуги,Service Name,Хизмат номи
congratulations,Tabriklaymiz!,Поздравляем!,Congratulations!,Табриклаймиз!
ad_success_posted,"Hurmatli foydalanuvchi, e’loningiz muvaffaqiyatli joylashtirildi.","Уважаемый пользователь, ваше объявление успешно размещено.","Ҳурматли фойдаланувчи, эълонингиз муваффақиятли жойлаштирилди.","Ҳурматли фойдаланувчи, эълонингиз муваффақиятли жойлаштирилди."
identification_part1,Identifikatsiyadan o‘tish bo‘yicha ko‘rsatmalar! ,Инструкции по прохождению идентификации!,Instructions for Identification!,Идентификациядан ўтиш бўйича кўрсатмалар!
identification_part2,Suratga tushishdan oldin quyidagilarga e’tibor bering:,Перед фотографированием обратите внимание на следующее:,"Before taking a photo, please pay attention to the following:",Суратга тушишдан олдин қуйидагиларга эътибор беринг:
identification_part3,Yuzingiz ramkaga to‘liq sig‘sin;,Ваше лицо должно полностью помещаться в рамку;,Make sure your face fully fits within the frame;,Юзингиз рамкага тўлиқ сиғсин;
identification_part4,"Ko‘zoynak, bosh kiyim va boshqa yuzni to‘suvchi buyumlarni yeching;","Снимите очки, головной убор и другие предметы, закрывающие лицо;","Remove glasses, hats, and any other items covering your face;","Кўзойнак, бош кийим ва бошқа юзни тўсувчи буюмларни ечинг;"
identification_part5,Yuzingiz bir tekis yoritilganligiga e’tibor bering;,"Убедитесь, что лицо равномерно освещено;",Ensure your face is evenly lit;,Юзингиз бир текис ёритилганлигига эътибор беринг;
identification_part6,Kamera yuzingizning to‘g‘risida turganligiga e’tibor bering.,Камера должна быть направлена прямо на ваше лицо.,Make sure the camera is positioned directly in front of your face.,Камера юзингизнинг тўғрисида турганлигига эътибор беринг.
daryo_uz,uz,ru,en,uzk
lan,O'zbek,Русский,English,Ўзбек
login_to_personal_account,Shaxsiy kabinetga kirish,Войти в личный кабинет,Login to personal account,Шахсий кабинетга кириш
enter_email_and_password,Kirish uchun e-mail va parolingizni yozing,Введите e-mail и пароль для входа,Enter your email and password to login,Кириш учун э-маил ва паролингизни ёзинг
enter_email_address,Elektron manzilni kiriting,Введите электронный адрес,Enter email address,Электрон манзилни киритинг
enter_password,Parolni kiriting,Введите пароль,Enter password,Паролни киритинг
remember_me,Yodda saqlash,Запомнить меня,Remember me,Ёдда сақлаш
forgot_password,Parolni unutdingizmi?,Забыли пароль?,Forgot password?,Паролни унутдингизми?
login,Kirish,Войти,Login,Кириш
continue_with_google,Google orqali davom etish,Продолжить через Google,Continue with Google,Google орқали давом этиш
continue_with_facebook,Facebook orqali davom etish,Продолжить через Facebook,Continue with Facebook,Facebook орқали давом этиш
dont_have_account,Shaxsiy kabinetingiz yo'qmi?,У вас нет личного кабинета?,Don't have an account?,Шахсий кабинетингиз йўқми?
register,Ro'yxatdan o'ting,Зарегистрируйтесь,Register,Рўйхатдан ўтинг
incorrect_email_or_password,Siz elektron manzil yoki parolni noto'g'ri kiritdingiz!,Вы ввели неверный e-mail или пароль!,You entered an incorrect email or password!,Сиз электрон манзил ёки паролни нотўғри киритдингиз!
fill_fields_carefully,"Iltimos, kataklarni diqqat bilan to'g'ri to'ldiring","Пожалуйста, внимательно заполните поля правильно",Please fill in the fields carefully and correctly,"Илтимос, катакларни диққат билан тўғри тўлдиринг"
understood,Tushunarli,Понятно,Understood,Тушунарли
register,Ro’yxatdan o’tish,Регистрация,Register,Рўйхатдан ўтиш
fill_personal_info,Davom etish uchun shaxsiy ma’lumotlaringizni to’ldiring!,"Заполните личные данные, чтобы продолжить!",Fill in your personal information to continue!,Давом этиш учун шахсий маълумотларингизни тўлдиринг!
enter_last_name,Familiyani kiriting,Введите фамилию,Enter your last name,Фамилияни киритинг
enter_first_name,Ismni kiriting,Введите имя,Enter your first name,Исмни киритинг
enter_email,Elektron manzilni kiriting,Введите электронную почту,Enter your email,Электрон манзилни киритинг
select_birth_date,Tug’ilgan kunni tanlang,Выберите дату рождения,Select your birth date,Туғилган кунни танланг
enter_phone,Telefon raqamni kiriting,Введите номер телефона,Enter your phone number,Телефон рақамни киритинг
enter_password,Parolni kiriting,Введите пароль,Enter your password,Паролни киритинг
reenter_password,Parolni qayta kiriting,Повторите пароль,Re-enter your password,Паролни қайта киритинг
register_button,Ro’yxatdan o’tish,Зарегистрироваться,Sign Up,Рўйхатдан ўтиш
have_account,Sizda shaxsiy kabinet bormi?,У вас уже есть аккаунт?,Already have an account?,Сизда шахсий кабинет борми?
login,Tizimga kiring,Войти,Log in,Тизимга киринг
add_photo_optional,Fotosuratingizni qo‘shing,Добавьте ваше фото,Add your photo,Фотосуратингизни қўшинг
finish,Yakunlash,Завершить,Finish,Якунлаш
please_fill_all,"Iltimos, ma’lumotlarni to’liq kiritdingiz!","Пожалуйста, заполните все данные!",Please complete all information!,"Илтимос, маълумотларни тўлиқ киритдингиз!"
data_confidentiality,Ushbu ma’lumotlar Daryo.uz bazasida maxfiy saqlanadi va hech kimga oshkor qilinmaydi.,Эти данные хранятся в базе Daryo.uz и не разглашаются третьим лицам.,This information is securely stored in the Daryo.uz database and will not be disclosed to anyone.,Ушбу маълумотлар Daryo.uz базасида махфий сақланади ва ҳеч кимга ошкор қилинмайди.
forgot_password_title,Parolni unutdingizmi?,Забыл пароль?,Forgot your password?,Паролни унутдингизми?
dont_worry,Hech qisi yo’q!,Не переживайте!,No worries!,Ҳеч қиси йўқ!
we_will_restore_password,"Aslo qayg’urmang, biz sizning parolingizni tiklab beramiz.",Не волнуйтесь — мы поможем восстановить ваш пароль.,Don’t worry — we will help you restore your password.,"Асло қайғурманг, биз сизнинг паролингизни тиклаб берамиз."
enter_registered_email_instruction,Buning uchun siz ro’yxatdan o’tish vaqtida qayd qilgan elektron manzilingizni quyidagi katakga kiritishingiz lozim.,"Для этого введите адрес электронной почты, который вы указывали при регистрации, в поле ниже.","To do this, enter the email you used during registration into the field below.",Бунинг учун сиз рўйхатдан ўтиш вақтида қайд қилган электрон манзилингизни қуйидаги катакга киритишингиз лозим.
we_send_special_password_notice,Siz kiritadigan elektron manzilga biz maxsus parol yuboramiz. Ushbu parolni keyingi oynaga o’tganda kiriting.,На указанный вами адрес мы отправим специальный пароль. Введите этот пароль на следующем шаге.,We will send a special password to the email you provide. Enter it on the next screen.,Сиз киритадиган электрон манзилга биз махсус парол юборамиз. Ушбу паролни кейинги ойнага ўтганда киритинг.
legal_warning,Ogoh bo’ling! Agar siz o’zingizga tegishli bo’lmagan elektron manzilni kiritsangiz va begona kishining profilini buzib kirishga urunsangiz O’zbekiston Respublikasi qonunchiligi oldida javobgarlikka tortilishingiz mumkin.,"Внимание! Если вы введёте чужой адрес электронной почты и попытаетесь получить доступ к чужому профилю, вы можете быть привлечены к ответственности в соответствии с законодательством Республики Узбекистан.","Warning! If you enter someone else’s email and attempt to access another person’s profile, you may be held liable under the laws of the Republic of Uzbekistan.",Огоҳ бўлинг! Агар сиз ўзингизга тегишли бўлмаган электрон манзилни киритсангиз ва бегона кишининг профилини бузиб киришга урунсангиз Ўзбекистон Республикаси қонунчилиги олдида жавобгарликка тортилишингиз мумкин.
send_button,Yuborish,Отправить,Send,Юбориш
invalid_email,Siz elektron manzilni noto’g’ri kiritdingiz!,Вы неверно указали электронную почту!,You entered an incorrect email!,Сиз электрон манзилни нотўғри киритдингиз!
fill_fields_carefully,"Iltimos, kataklarni diqqat bilan to’g’ri to’ldiring","Пожалуйста, заполните поля внимательно и корректно",Please fill in the fields carefully and correctly,"Илтимос, катакларни диққат билан тўғри тўлдиринг"
reset_password_title,Parolni tiklash,Восстановление пароля,Reset password,Паролни тиклаш
enter_special_code_instruction,Avvalgi oynada siz kiritgan {email} elektron manziliga yuborilgan maxsus parolni quyidagi parol yozish katagiga kiriting.,"В предыдущем окне вы ввели адрес {email}, на который был отправлен специальный пароль. Введите его в поле ниже.","In the previous window, you entered {email}, to which a special password was sent. Enter it in the field below.",Аввалги ойнада сиз киритган {эмаил} электрон манзилига юборилган махсус паролни қуйидаги парол ёзиш катагига киритинг.
enter_special_code_label,Maxsus parolni kiriting,Введите специальный пароль,Enter special password,Махсус паролни киритинг
one_time_code_notice,Maxsus parol bir martalik!,Специальный пароль однократный!,The special password is one-time use!,Махсус парол бир марталик!
change_password_after_login_notice,"Shu bois, maxsus parol orqali profilingizga kirganingizdan so’ng uni “Profilni tahrirlash” bo’limida o’zingizga qulay bo’lganiga almashtirib qo’ying.",Поэтому после входа по специальному паролю смените его в разделе «Редактировать профиль» на удобный вам.,"Therefore, after logging in with the special password, change it to something convenient in the “Edit Profile” section.","Шу боис, махсус парол орқали профилингизга кирганингиздан сўнг уни “Профилни таҳрирлаш” бўлимида ўзингизга қулай бўлганига алмаштириб қўйинг."
restore,Tilklash,Восстановить,Restore,Тилклаш
special_password_incorrect,Siz maxsus parolni noto’g’ri kiritdingiz!,Вы ввели специальный пароль неверно!,You entered the special password incorrectly!,Сиз махсус паролни нотўғри киритдингиз!
resend_special_password,Maxsus parolni qayta yuborish,Отправить специальный пароль повторно,Resend special password,Махсус паролни қайта юбориш
next_step_hint,Ushbu parolni keyingi oynaga o’tganda kiriting.,Введите этот пароль на следующем шаге.,Enter this password on the next screen.,Ушбу паролни кейинги ойнага ўтганда киритинг.
contact_support,"Agar muammo davom etsa, iltimos, qo‘llab-quvvatlashga murojaat qiling.","Если проблема сохраняется, пожалуйста, обратитесь в службу поддержки.","If the issue persists, please contact support.","Агар муаммо давом этса, илтимос, қўллаб-қувватлашга мурожаат қилинг."
optional,Majburiy emas,Необязательно,Optional,Мажбурий эмас
or_key_word,yoki,или,or,ёки
collected_points,Yig’ilgan ballar,Набранные баллы,Collected points,Йиғилган баллар
currency_som,So’m,Сум,So'm,Сўм
my_profile,Profilim,Мой профиль,My profile,Профилим
edit,Tahrirlash,Редактировать,Edit,Таҳрирлаш
quiz_history,Viktorinalar tarixi,История викторин,Quiz history,Викториналар тарихи
subscriptions,Obunalar,Подписки,Subscriptions,Обуналар
purchased_articles,Sotib olingan maqolalar,Приобретённые статьи,Purchased articles,Сотиб олинган мақолалар
general_settings,Umumiy sozlamalar,Общие настройки,General settings,Умумий созламалар
security,Xavfsizlik,Безопасность,Security,Хавфсизлик
language,Til,Язык,Language,Тил
tariffs,Tariflar,Тарифы,Tariffs,Тарифлар
cards,Kartalar,Карты,Cards,Карталар
theme,Tema,Тема,Theme,Тема
notifications,Notification,Уведомления,Notifications,Нотифиcатион
help_support,Yordam va qo‘llab-quvvatlash,Помощь и поддержка,Help & Support,Ёрдам ва қўллаб-қувватлаш
send_feedback,Murojaat yuborish,Отправить обращение,Send feedback,Мурожаат юбориш
online_edition,Internet-nashr,Интернет-издание,Online edition,Интернет-нашр
contact_info,Aloqa ma’lumotlar,Контактная информация,Contact information,Алоқа маълумотлар
about_editorial,Tahririyat haqida,О редакции,About the editorial,Таҳририят ҳақида
terms_of_use,Foydalanish shartlari,Условия использования,Terms of use,Фойдаланиш шартлари
privacy_policy,Maxfiylik siyosati,Политика конфиденциальности,Privacy policy,Махфийлик сиёсати
news_archive,Yangiliklar arxivi,Архив новостей,News archive,Янгиликлар архиви
logout,Chiqish,Выйти,Logout,Чиқиш
edit_profile,Profilni tahrirlash,Редактировать профиль,Edit profile,Профилни таҳрирлаш
edit,Tahrirlash,Редактировать,Edit,Таҳрирлаш
profile,Profil,Профиль,Profile,Профил
change_password,Parolni o'zgartirish,Изменить пароль,Change password,Паролни ўзгартириш
update_password_description,Profilingiz parolini yangilang,Обновите пароль вашего профиля,Update your profile password,Профилингиз паролини янгиланг
biometric_login,Biometrik login,Биометрический вход,Biometric login,Биометрик логин
biometric_login_description,Biometrik ma’lumot orqali tizimga kiring,Войдите в систему с помощью биометрических данных,Log in using biometric data,Биометрик маълумот орқали тизимга киринг
login_history,Kirish tarixi,История входов,Login history,Кириш тарихи
check_login_history,Xavfsizlik uchun kirish tarixini tekshiring,Проверьте историю входов для безопасности,Check your login history for security,Хавфсизлик учун кириш тарихини текширинг
password_change_info,"Parolingiz kamida 8 ta belgidan iborat boʻlishi va raqamlar, harflar va maxsus belgilar birikmasidan iborat boʻlishi kerak (!$@%)","Ваш пароль должен содержать не менее 8 символов, включая цифры, буквы и специальные символы (!$@%)","Your password must contain at least 8 characters including numbers, letters, and special characters (!$@%)","Паролингиз камида 8 та белгидан иборат бўлиши ва рақамлар, ҳарфлар ва махсус белгилар бирикмасидан иборат бўлиши керак (!$@%)"
old_password,Eski parolni kiriting,Введите старый пароль,Enter old password,Эски паролни киритинг
new_password,Yangi parolni kiriting,Введите новый пароль,Enter new password,Янги паролни киритинг
confirm_new_password,Yangi parolni qayta kiriting,Повторите новый пароль,Re-enter new password,Янги паролни қайта киритинг
active_sessions,Faol sessiyalar,Активные сессии,Active sessions,Фаол сессиялар
this_device,Ushbu qurilma,Это устройство,This device,Ушбу қурилма
logout_other_devices,Bundan tashqari barcha qurilmalarda tizimdan chiqing,Выйти из системы на всех других устройствах,Log out from all other devices,Бундан ташқари барча қурилмаларда тизимдан чиқинг
stop_other_sessions,Boshqa barcha seanslarni to'xtating,Остановить все другие сессии,Stop all other sessions,Бошқа барча сеансларни тўхтатинг
active_sessions_alt,Faol seanslar,Активные сеансы,Active sessions,Фаол сеанслар
end_session,Seans to’xtatish,Завершить сеанс,End session,Сеанс тўхтатиш
enter_subject,Mavzuni yozing,Напишите тему,Enter subject,Мавзуни ёзинг
enter_message,Murojaat matnini yozing,Напишите текст обращения,Enter your message,Мурожаат матнини ёзинг
contact_notice,Zaruratga ko’ra bizning xodimlar siz bilan ko’rsatilgan raqam orqali aloqaga chiqishlari mumkin!,При необходимости наши сотрудники свяжутся с вами по указанному номеру!,"If necessary, our staff may contact you using the provided number!",Заруратга кўра бизнинг ходимлар сиз билан кўрсатилган рақам орқали алоқага чиқишлари мумкин!
send_request,Murojaat yuborish,Отправить обращение,Send request,Мурожаат юбориш
request_sent,Sizning so’rovingiz yuborildi!,Ваш запрос отправлен!,Your request has been sent!,Сизнинг сўровингиз юборилди!
staff_will_contact,Bizning xodimlarimiz siz bilan yaqin vaqt ichida aloqaga chiqishadi,Наши сотрудники свяжутся с вами в ближайшее время,Our staff will contact you shortly,Бизнинг ходимларимиз сиз билан яқин вақт ичида алоқага чиқишади
home_page,Asosiy sahifa,Главная страница,Home page,Асосий саҳифа
full_name,Ism Familya,Имя Фамилия,Full Name,Исм Фамиля
ip_based_geolocation,IP manzilga asoslangan geolokatsiya,Геолокация на основе IP-адреса,IP-based geolocation,ИП манзилга асосланган геолокация
app,Ilova,Приложение,Application,Илова
next,Keyingisi,Следующий,Next,Кейингиси
my_payment_cards,To‘lov kartalarim,Мои платёжные карты,My payment cards,Тўлов карталарим
current_balance,Ayni damda hisobdagi mablag‘,Текущий баланс на счету,Current account balance,Айни дамда ҳисобдаги маблағ
no_cards_available,Ayni damda sizda to‘lovlarni amalga oshirish uchun hech qanday bank kartasi mavjud emas,В данный момент у вас нет банковских карт для совершения платежей,You currently have no bank cards available for making payments,Айни дамда сизда тўловларни амалга ошириш учун ҳеч қандай банк картаси мавжуд эмас
add_card_now,Hoziroq bank kartangizni qo‘shing va ko‘pgina qulay imkoniyatlarga ega bo‘ling,Добавьте свою банковскую карту прямо сейчас и получите множество удобных возможностей,Add your bank card now and get access to many convenient features,Ҳозироқ банк картангизни қўшинг ва кўпгина қулай имкониятларга эга бўлинг
add_bank_card,Bank kartasini qo‘shish,Добавить банковскую карту,Add bank card,Банк картасини қўшиш
use_autopay_service,Avtoto‘lov xizmatidan foydalanish,Использовать услугу автоплатежа,Use autopay service,Автотўлов хизматидан фойдаланиш
autopay_description,Ushbu xizmat orqali siz tarifingiz uchun oylik abonent to‘lovi uchun kerakli mablag‘ni avtomatik tarzda kartangiz hisob raqamidan so‘ndirishingiz mumkin,С помощью этой услуги вы можете автоматически списывать ежемесячную абонентскую плату за тариф с вашего банковского счёта,"With this service, you can automatically deduct your monthly subscription fee from your bank account",Ушбу хизмат орқали сиз тарифингиз учун ойлик абонент тўлови учун керакли маблағни автоматик тарзда картангиз ҳисоб рақамидан сўндиришингиз мумкин
view_payment_history,To‘lovlar tarixini ko‘rish,Просмотр истории платежей,View payment history,Тўловлар тарихини кўриш
go_to_tariff_plans,Tarif rejalari bo‘limiga o‘tish,Перейти в раздел тарифных планов,Go to tariff plans section,Тариф режалари бўлимига ўтиш
using_payment_cards,To‘lov kartalaridan foydalanish bo‘yicha,По использованию платёжных карт,On using payment cards,Тўлов карталаридан фойдаланиш бўйича
add_new_card,Yangi bank kartasi qo‘shish,Добавить новую банковскую карту,Add new bank card,Янги банк картаси қўшиш
card_number,Kartaning raqami,Номер карты,Card number,Картанинг рақами
card_expiry_date,Kartaning amal qilish muddati,Срок действия карты,Card expiry date,Картанинг амал қилиш муддати
card_name,Kartaning nomlanishi,Название карты,Card name,Картанинг номланиши
set_as_main_card,Asosiy karta sifatida qayd qilish,Установить как основную карту,Set as main card,Асосий карта сифатида қайд қилиш
add_card,Kartani qo‘shish,Добавить карту,Add card,Картани қўшиш
cancel,Bekor qilish,Отменить,Cancel,Бекор қилиш
edit_information,Ma’lumotlarni o‘zgartirish,Изменить данные,Edit information,Маълумотларни ўзгартириш
delete_card,Kartani o‘chirish,Удалить карту,Delete card,Картани ўчириш
delete_card_confirmation,Siz to‘lovlar uchun bank kartasini o‘chiyapsiz,Вы удаляете банковскую карту для платежей,You are deleting your payment card,Сиз тўловлар учун банк картасини ўчияпсиз
are_you_sure,Ishonchingiz komilmi?,Вы уверены?,Are you sure?,Ишончингиз комилми?
confirm_delete,"Ha, o‘chirish","Да, удалить","Yes, delete","Ҳа, ўчириш"
telegram_admin,Telegram Admin,Telegram Админ,Telegram Admin,Телеграм Админ
public_offer,Ommaviy oferta,Публичная оферта,Public offer,Оммавий оферта
edit_card_information,Karta ma’lumotlarini o‘zgartirish,Изменить данные карты,Edit card information,Карта маълумотларини ўзгартириш
amount,Miqdor,Сумма,Amount,Миқдор
payment_time,To'langan vaqt,Время оплаты,Payment time,Тўланган вақт
expiration_time,Tugash vaqti,Время окончания,Expiration time,Тугаш вақти
payment_amount,To'lov miqdori,Сумма оплаты,Payment amount,Тўлов миқдори
no_subscriptions,Sizda obunalar mavjud emas!,У вас нет подписок!,You have no subscriptions!,Сизда обуналар мавжуд эмас!
subscribe_premium_text,Premium maqolalar o’qish uchun o’zingizga ma’qul bo’lgan tarif rejasini tanlang va obuna bo’ling.,"Выберите подходящий тарифный план и оформите подписку, чтобы читать премиум-статьи.",Choose a suitable plan and subscribe to read premium articles.,Премиум мақолалар ўқиш учун ўзингизга маъқул бўлган тариф режасини танланг ва обуна бўлинг.
no_purchased_articles,Sizda sotib olingan maqolalar mavjud emas!,У вас нет купленных статей!,You have no purchased articles!,Сизда сотиб олинган мақолалар мавжуд эмас!
see_more,Ko'proq ko'rish,Смотреть больше,See more,Кўпроқ кўриш
username_or_email_exists,Username yoki Email allaqachon mavjud,Имя пользователя или Email уже существует,Username or email already exists,Усернаме ёки Эмаил аллақачон мавжуд
phone_number_already_registered,Raqamingiz allaqachon ro’yxatdan o’tgan,Ваш номер уже зарегистрирован,Your phone number is already registered,Рақамингиз аллақачон рўйхатдан ўтган
error_occurred_try_again,Xatolik yuzaga keldi. Yana bir bor urunib ko'ring,Произошла ошибка. Попробуйте еще раз,An error occurred. Please try again,Хатолик юзага келди. Яна бир бор уруниб кўринг
data_loading,Maʼlumotlar yuklanmoqda...,Данные загружаются...,Data is loading...,Маълумотлар юкланмоқда...
favorite_posts,Sevimli postlarim,Мои избранные посты,My favorite posts,Севимли постларим
no_favorite_posts,"Afsuski, sizda sevimli postlar mavjud emas!","К сожалению, у вас нет избранных постов!","Unfortunately, you have no favorite posts!","Афсуски, сизда севимли постлар мавжуд эмас!"
